id	root	asset	uexp_offset	mode	export	source	translation	comment
5d3286974ee1	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	2520	utf16	DT_Quests	"Oi, look at thee new, untested, and scrawny. Yee must pass me test . . .            
There’s another BIG FLESHY GROWTH near these CASTLE WALLS.       
It's got TENTACLES and GLOWIN' RED! Hurry before it makes more . . .                              
To remove it you go touch an hold it for a second or two . . .                                                         
But don’t you dare come close to me till you’ve washed yourself clean!"	Гляньте-ка: новенький, непроверенный и тощий. Пройдешь мое испытание... У ЗАМКОВЫХ СТЕН вырос еще один БОЛЬШОЙ МЯСНОЙ НАРОСТ. С щупальцами, красным светится! Торопись, пока он не расплодился. Чтобы убрать его, подойди и удерживай руку пару секунд... Но ко мне не приближайся, пока не отмоешься!	
0772bc14b4a6	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	3498	narrow	DT_Quests	Fetch Me Sword	Принеси мой меч	
7012663f87df	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	3571	narrow	DT_Quests	Fetch the Sword from somewhere inside the Barn on the Farm.	Найди меч где-то в амбаре на ферме.	
ae891ceb84b2	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	3689	narrow	DT_Quests	Fetch test sword	Найди меч	
997bf641c694	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	3783	narrow	DT_Quests	Return the Sword to the Gates	Верни меч к воротам	
a1b0f7ccf281	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	3871	narrow	DT_Quests	Description of the objective.	Описание цели.	
aa8337787c3e	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	3961	narrow	DT_Quests	"A man may only walk one path in life . . .            
I chose to walk here and leave me SWORD at the FARM. Now your path lies before yee, down to the FARM to bring me back my SWORD . . .                            
The childen may sing of your glory . . .  if I ever bother to tell it"	Человек идет лишь одной тропой... Я выбрал эту и оставил МЕЧ на ФЕРМЕ. Твоя тропа ведет туда же: принеси мой МЕЧ. Может, дети воспоют твою славу... если я вообще им расскажу.	
dad3202e8c54	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	4341	narrow	DT_Quests	Fetch Me Sword	Принеси мой меч	
decca61020e8	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	4414	narrow	DT_Quests	Fetch the Sword from somewhere in the Village Inn.	Найди меч где-то в деревенской таверне.	
3b364149c03c	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	4523	narrow	DT_Quests	Fetch sword	Найди меч	
313712f57c27	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	4612	narrow	DT_Quests	Return the Sword to the Gates	Верни меч к воротам	
eb3231e7d51c	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	4700	narrow	DT_Quests	Description of the objective.	Описание цели.	
343747275529	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	4790	narrow	DT_Quests	Lost me useless, but once honorable SWORD at the VILLAGE INN . . . Reminds me of yee . . . Had drunken me self sick *hic* down by the fire, thinkin' o' better days . . . That Innkeeper musta pulled it from me sheathe and stashed it somewhere. I just know it. Crooked thief must have already hid it somewhere. Get out to the INN and bring back me SWORD!	Потерял свой бесполезный, но когда-то честный МЕЧ в ДЕРЕВЕНСКОЙ ТАВЕРНЕ. Напился у огня, думал о лучших днях... Хозяин, небось, вытащил его из ножен и спрятал. Ступай в ТАВЕРНУ и верни мой МЕЧ!	
12258d075032	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	5235	narrow	DT_Quests	Fetch Me Sword	Принеси мой меч	
969318bb180e	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	5308	narrow	DT_Quests	Fetch the Sword that's by the Forest Pond.	Найди меч у лесного пруда.	
70f777805829	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	5409	narrow	DT_Quests	Fetch sword	Найди меч	
3389fd808ca2	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	5498	narrow	DT_Quests	Return the Sword to the Gates	Верни меч к воротам	
e2e583132b01	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	5586	narrow	DT_Quests	Description of the objective.	Описание цели.	
36dcb4f0f55b	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	5676	utf16	DT_Quests	"Does yee face feel of pain? 'Cause it hurts me to look upon                                                           
Yet I have must have me SWORD from the POND in the FOREST.
I shan't be bothered to ge it so yee must get it.                                                                                                  
Off with yee, it’s cold, so it is."	Твое лицо знает боль? Мне больно на него смотреть. А мне нужен МЕЧ из ПРУДА В ЛЕСУ. Сам я туда не пойду, так что пойдешь ты. Прочь, пока холод не добил.	
c6364fe02ea5	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	6496	narrow	DT_Quests	Fetch Me Cup	Принеси мою чашу	
e6cc93a9e44e	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	6567	narrow	DT_Quests	Grab the Gold Cup in the Village Tavern	Забери золотую чашу в деревенской таверне	
9f0f3f8e4233	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	6665	narrow	DT_Quests	Grab the gold cup in the village tavern	Забери золотую чашу в деревенской таверне	
f5e0a3b89b26	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	6782	narrow	DT_Quests	Return the Gold Cup to the Gates	Верни золотую чашу к воротам	
4fc2886d030d	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	6873	narrow	DT_Quests	Description of the objective.	Описание цели.	
0357979e7fc4	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	6963	utf16	DT_Quests	"Oi . . . *hic* I done dropped me GOLDEN CUP in that VILLAGE TAVERN, fightin’ ungrateful. . .          
fightin’ them . . . uh . . .                             *hic*       
Need that CUP . . .   Tis' GOLD                                           
Gotta ke-keep this feelin . . .      *hic*       
Can you get me CUP . . . I won't be . . .                                                                                                      
What . . .                               *hic*                                  
I'm-You get it . . .    me GOLDEN CUP . . .                                                  
Ugly son of a . . .                       
My dad owns the TAVERN . . .                                         *hic*                  
Done soiled me self . . .                                                 
*hic*                                                                 
What are you doing after this?                                                          
*hic*"	Эй... ик... уронил я ЗОЛОТОЙ КУБОК в ДЕРЕВЕНСКОЙ ТАВЕРНЕ. Дрался с неблагодарными... или с кем-то. Кубок нужен, он же ЗОЛОТОЙ. Иди, принеси мой ЗОЛОТОЙ КУБОК. Ик. Отец владеет таверной... вроде.	
11c078a2bbf9	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	9066	narrow	DT_Quests	Fetch Me Gem	Принеси самоцвет	
a4d4b3a4073c	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	9137	narrow	DT_Quests	Grab the Green Gem from inside the Barn on the Farm	Возьми зеленый камень в сарае на ферме	
ba1b2326dffb	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	9247	narrow	DT_Quests	Grab the gem from the farm	Возьми самоцвет на ферме	
7c4c9eca46f2	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	9351	narrow	DT_Quests	Return the Gem to the Gates	Верни самоцвет к воротам	
7f360430b7c5	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	9437	narrow	DT_Quests	Description of the objective.	Описание цели.	
320347033689	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	9527	narrow	DT_Quests	"Oi it be yee the turnip head.     
The FARM always reminds me of that . . .                
That is where I must have dropped my GREEN GEM! The FARM!
I had nothing in me pocket when I got here. So it must be there.                                              
I always hated turnips. Since I was a girl.                                                           
Hurry on!       "	Эй, репная голова. ФЕРМА всегда напоминает мне о репе... Там я и обронила ЗЕЛЕНЫЙ САМОЦВЕТ. В кармане у ворот его уже не было, значит он там. Ненавижу репу с детства. Живо!	
705de24025e0	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	10005	narrow	DT_Quests	Fetch Me Sword	Принеси мой меч	
1d1bcb47e049	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	10078	narrow	DT_Quests	Fetch the Sword from the Blacksmiths in the Village	Найди меч у деревенского кузнеца	
e25116c0cfa4	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	10188	narrow	DT_Quests	Fetch test sword	Найди меч	
b1ff135eb9d8	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	10282	narrow	DT_Quests	Return the Sword to the Gates	Верни меч к воротам	
82537ec97457	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	10370	narrow	DT_Quests	Description of the objective.	Описание цели.	
83976fda5d3c	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	10460	utf16	DT_Quests	"Listen closley, yee honorless mup!                                    
I left me family SWORD behind at yee olde VILLAGE BLACKSMITH.                
No, don’t ask me exactly where. I know where it is of course!        
But this be a test of yee cunning. Bring it back with haste.                                                
If yee stray down the wrong path, keep goin’ castle's better without yee!        "	Слушай внимательно, бесчестный болван. Я оставил семейный МЕЧ у старого ДЕРЕВЕНСКОГО КУЗНЕЦА. Где именно - не спрашивай. Это проверка твоей сметки. Верни его быстро. Свернешь не туда - продолжай идти, замку без тебя лучше.	
83735965c33b	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	11380	narrow	DT_Quests	Fish Me Dinner	Поймай ужин	
2e3fd274521a	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	11453	narrow	DT_Quests	Catch a Fish from the Forest Lake	Поймай рыбу в лесном озере	
dad0d51ffce6	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	11545	narrow	DT_Quests	Grab the fishing pole to fish a fish at the forest lake shore	Возьми удочку у лесного озера	
5529facf2ce2	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	11684	narrow	DT_Quests	Return the Fish to the Gates	Верни рыбу к воротам	
6b2a36ae8b1c	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	11771	narrow	DT_Quests	Description of the objective.	Описание цели.	
cc9e353975a1	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	11861	narrow	DT_Quests	"Oi, yee ugly lout . . .            
If yee ain't making me dinner, then go catch me a FISH from the FOREST LAKE! Not that dinky pond in the middle.                           
Yee oughta be strung up just for lookin so thick.                                                  
*achoo*                                
. . . Bless me,                                                     
Rude . . .                                                           
Hurry I'm starving!"	Эй, уродливый олух. Если не готовишь мне ужин, поймай РЫБУ в ЛЕСНОМ ОЗЕРЕ. Не в мелком пруду посреди деревни. Взял удочку и шевелись. Я голодаю!	
cffcf7b6e796	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	12431	narrow	DT_Quests	Fetch Me Fang	Принеси клык	
5a972c33f8c8	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	12503	narrow	DT_Quests	Find the Fang in the Forest Ruins near the Abandoned Village	Найди клык в лесных руинах у покинутой деревни	
e3f3141404b4	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	12622	narrow	DT_Quests	Pickup the fang in the forest	Подбери клык в лесу	
53d63f6f07b7	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	12729	narrow	DT_Quests	Return the Fang to the Gates	Верни клык к воротам	
ea087c0889a1	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	12816	narrow	DT_Quests	Return to the gate	Вернись к воротам	
bd7a19de5c1e	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	12895	narrow	DT_Quests	"I was out at yee olde FOREST LAKE and me line snagged on somethin.
I pulled hard and a giant TOOTH was on the other end of my line!
It must have fallen out me bag in the FOREST RUINS near the ABANDONED VILLAGE when I was gutting the fish. I want that TOOTH!
Alas I'm slothful . . . So you go fetch me TOOTH. And hurry!  "	Был я у старого ЛЕСНОГО ОЗЕРА, леска зацепилась. Дернул - а на конце огромный ЗУБ. Потом он выпал из мешка в ЛЕСНЫХ РУИНАХ у ПОКИНУТОЙ ДЕРЕВНИ. Хочу этот ЗУБ. Я ленив, так что тащи его ты.	
c8e3a1b6724a	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	13312	narrow	DT_Quests	Fetch Me Book	Принеси книгу	
a721dfc8a90c	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	13384	narrow	DT_Quests	Fetch Book from the Forest Pond	Найди книгу у лесного пруда	
aac7a98c817b	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	13474	narrow	DT_Quests	Fetch Book Forest Pond	Найди книгу у лесного пруда	
c83e68d46e58	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	13574	narrow	DT_Quests	Return the Book to the Gates	Верни книгу к воротам	
2271e18ca6c8	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	13661	narrow	DT_Quests	Return To gates	Вернись к воротам	
9fd28903f40c	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	13737	utf16	DT_Quests	"Oi, yee there! Dropped me BOOK down by the FOREST POND.
Slipped outta me hands while I was doin' . . . important business.   
And before yee start askin' yes, I can read. Read it real good. 
Read it thrice. Unlike yee, who ain’t even allowed to read.                 
Kings decree.                                                                                  "	Эй, ты! Уронил КНИГУ у ЛЕСНОГО ПРУДА. Выпала из рук, пока я занимался... важным делом. И да, я умею читать. Читал ее трижды. В отличие от тебя, кому читать королевским указом не велено.	
6ef100f62b97	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	14565	narrow	DT_Quests	Rid The Growths	Искорени наросты	
35cfacc6ddc7	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	14639	narrow	DT_Quests	Click and Hold Interact on the Red Growths in the Forest	Удерживай взаимодействие на красном наросте	
50883bc5e35c	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	14754	narrow	DT_Quests	Click and Hold Interact on the RED GROWTHS in the FOREST	Удерживай взаимодействие на красном наросте	
13434896d23c	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	14889	narrow	DT_Quests	Return to the Gates	Вернись к воротам	
85356e1f96d9	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	14967	narrow	DT_Quests	Return To Castle Gates.	Вернись к замковым воротам	
03131374c348	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	15051	utf16	DT_Quests	"The FLESH don’t spread like it once did, not since the Watch came.
The Kings wisdom be praised for that. Still, it finds its way.
THREE GROWTHS are in the forest. How they get in our walls we know not. 
But you must go keep these lands clean, as brothers before you have.                          
We peasants must stay clean from this filth!"	ПЛОТЬ уже не расползается как прежде, с тех пор как пришел Дозор. Хвала мудрости короля. Но она все равно находит путь. В лесу ТРИ НАРОСТА. Как они пробрались за стены - не знаем. Ступай и очисти земли.	
920e922420ca	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	15837	narrow	DT_Quests	Fetch Me Book	Принеси книгу	
0053e37b75d3	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	15909	narrow	DT_Quests	Fetch the Book From Village Church	Найди книгу в деревенской церкви	
b40adedb7972	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	16002	narrow	DT_Quests	Fetch Book	Найди книгу	
2106046ec6fa	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	16090	narrow	DT_Quests	Return the Book to the Gates	Верни книгу к воротам	
7d73107664d4	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	16177	narrow	DT_Quests	Return Book	Верни книгу	
ff0b1f9650ad	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	16245	utf16	DT_Quests	"Achoo! Oh, me bad, right in yee face!                                          
I need me BOOK I left it in the VILLAGE CHURCH. Don’t ask why it ain’t with me. The Lord moves in ways beyond yee understanding.                            
And while yee at it, don't read it. The holy word aint for yee.                                                                                                      
Oi, idle hands, dear Knight, Idle hands."	Апчхи! Прости, прямо в лицо. Мне нужна КНИГА, оставил ее в ДЕРЕВЕНСКОЙ ЦЕРКВИ. Не спрашивай почему. Господь ходит путями, недоступными твоей голове. И не читай ее. Святое слово не для тебя.	
d2f1f29d663a	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	17231	narrow	DT_Quests	Fetch Me Shield	Принеси щит	
0a83bf968c26	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	17305	narrow	DT_Quests	Fetch Shield from the Forest Ruins	Найди щит в лесных руинах	
ee3fe1af9eaf	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	17398	narrow	DT_Quests	Fetch Shield Forest Ruins	Найди щит в лесных руинах	
d5b95ba3e2e8	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	17501	narrow	DT_Quests	Return the Shield to the Gates	Верни щит к воротам	
661e06a19307	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	17590	narrow	DT_Quests	Return the Shield to the Gates	Верни щит к воротам	
64cff419bade	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	17677	narrow	DT_Quests	"I stand atop the keep . . .    
Yee are a boot . . .                    
I left me SHIELD among the FOREST RUINS.                           
Yee be who must FETCH it.                                                              
Be a boot, and know yer place.                                                                                                            
So it is.                                "	Я стою на крепости... а ты сапог. Оставил ЩИТ среди ЛЕСНЫХ РУИН. Ты и принесешь его. Будь сапогом и знай свое место.	
6a7078c81aea	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	18184	narrow	DT_Quests	Fetch Me Precious	Принеси драгоценность	
d0cdae20a23f	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	18260	narrow	DT_Quests	Fetch the Statue From Village Market	Найди статуэтку на рынке	
75dbaef7cca6	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	18355	narrow	DT_Quests	Fetch the Statue From Village Market	Найди статуэтку на рынке	
d29c4abed2f6	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	18469	narrow	DT_Quests	Return the Statue to the Gates	Верни статуэтку к воротам	
de41c8d8e84d	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	18558	narrow	DT_Quests	Return Statue To Gates	Верни статуэтку к воротам	
27bcc9ef2821	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	18637	utf16	DT_Quests	"Sir I doth not respect you! But I need me STATUE.                      
Left it at the VILLAGE MARKET. Tis' Small, beautiful, and worth more than yee lot combined. Much, much more than all yee.                                                                    
Yee best come back quick. Tis cursed, mind yee.                                                                                             
Just pullin’ yee leg.                                                                                                                                 
Or am I?                                                                                                               I'm not.                                                                                                                                                                                  
Please hurry . . ."	Сэр, я тебя не уважаю, но мне нужна СТАТУЭТКА. Оставил ее на ДЕРЕВЕНСКОМ РЫНКЕ. Малая, красивая и стоит больше всех вас. Вернись быстро. Она проклята... шучу. Или нет. Нет, не шучу. Поторопись.	
729b06cfed9d	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	20497	narrow	DT_Quests	Rid The Growths	Искорени наросты	
39fe54d72ba2	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	20571	narrow	DT_Quests	Click and Hold Interact on the Red Growths at the Farm	Удерживай взаимодействие на красном наросте	
4201588f0479	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	20684	narrow	DT_Quests	Click and Hold Interact on the RED GROWTHS at the Farm	Удерживай взаимодействие на красном наросте	
06be7feb35bc	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	20817	narrow	DT_Quests	Return to the Gates	Вернись к воротам	
8940f7115e94	legacy_quests	KnightsEnd/Content/KnightsEnd/GameBackend/Systems/QuestSystem/DT_Quests.uasset	20895	narrow	DT_Quests	Return To Castle Gates.	Вернись к замковым воротам	
